warID,warName,warDescription,startDate,endDate,prevWarID,nextWarID
Q202465,Uganda–Tanzania War,1978-79 war,1978-01-01,1979-01-01,,
Q6067814,Iraq War troop surge of 2007,increase in US soldiers stationed in Iraq,2007-01-10,2008-07-01,,
Q1814745,Eelam War I,first phase of the Sri Lankan civil war from 1983-1987,1983-07-23,1987-07-29,,
Q18121212,American-led intervention in Syria,"military campaign against Islamist extremist militant groups in Syria by USA, Bahrain, Jordan, Qatar, Saudi Arabia, and the UAE",2014-09-22,,,
Q842380,Second Sudanese Civil War,civil war,1983-06-05,2005-01-09,,
Q178810,Syrian Civil War,ongoing multi-sided armed conflict in Syria,2011-03-15,,,
Q81545,2011 Libyan Civil War,2011 armed conflict in the North African country of Libya,2011-02-15,2011-10-23,,
Q213394,Sri Lankan Civil War,armed conflict in Sri Lanka (1983–2009) between the government and the separatist organization Liberation Tigers of Tamil Eelam,1983-07-23,2009-05-18,,
Q257724,Ethiopian Civil War,civil war in Ethiopia between 1974 and 1991,1974-09-12,1991-06-04,,
Q647239,Burundi Civil War,civil war in Burundi between 1993-2005,1993-10-21,2005-05-15,,
Q54448834,Gunnut Operation,Azerbaijan Army Operation Sharur District Gained Some Hill And Gunnut Village,2018-05-20,2018-05-27,,
Q829875,Nigerian Civil War,violent conflict within Nigeria,2000-06-01,1974-01-15,,
Q1276892,South Yemen Civil War,,1986-01-13,1986-01-24,,
Q877450,Laotian Civil War,1959–1975 civil war in Laos,1959-05-23,1975-12-02,,
Q852088,Internal conflict in Myanmar,series of ongoing insurgencies within Myanmar,1948-04-02,,,
Q209965,Casamance conflict,ongoing low-level conflict between the Government of Senegal and the Movement of Democratic Forces of Casamance since 1982,1982-01-01,2014-05-01,,
Q185407,La Violencia,civil war in Colombia between 1946 and 1958,1949-12-06,1958-01-01,,
Q1282732,Guatemalan Civil War,1960-1996 civil war in Guatemala,1965-03-03,1996-12-29,,
Q817206,Cambodian Civil War,civil war in Cambodia between 1970 and 1975,1967-03-11,1975-04-17,,
