participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q227,Azerbaijan,sovereign state in Western Asia and Eastern Europe,AZE,1991-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q227,Q7270
http://www.wikidata.org/entity/Q31,Belgium,sovereign state in Western Europe,BEL,1830-10-04T00:00:00Z,,http://www.wikidata.org/entity/Q3330103,parliamentary monarchy,Q31,Q3330103
http://www.wikidata.org/entity/Q32,Luxembourg,sovereign state in Western Europe,LUX,1815-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q32,Q41614
http://www.wikidata.org/entity/Q31,Belgium,sovereign state in Western Europe,BEL,1830-10-04T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q31,Q41614
http://www.wikidata.org/entity/Q224,Croatia,sovereign state in Central Europe,HRV,1991-06-25T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q224,Q7270
http://www.wikidata.org/entity/Q213,Czech Republic,sovereign state in Central Europe,CZE,1993-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q213,Q4198907
http://www.wikidata.org/entity/Q189,Iceland,"sovereign state in Northern Europe, situated on an island in the far North Atlantic Ocean",ISL,1918-12-01T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q189,Q4198907
http://www.wikidata.org/entity/Q222,Albania,sovereign state in Southeast Europe,ALB,1912-11-28T00:00:00Z,,http://www.wikidata.org/entity/Q166747,parliamentary system,Q222,Q166747
http://www.wikidata.org/entity/Q218,Romania,sovereign state in Europe,ROU,1859-02-05T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q218,Q49890
http://www.wikidata.org/entity/Q851,Saudi Arabia,sovereign state in Western Asia,SAU,1727-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q184558,absolute monarchy,Q851,Q184558
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q50686,single-party state,Q858,Q50686
