event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict,largerConflictLabel,largerConflictDescription,warID,locationID,prevWarID,nextWarID,largerConflictID
http://www.wikidata.org/entity/Q68969,Croatian War of Independence,war of independence fought from 1991 to 1995,1991-03-31T00:00:00Z,1995-08-07T00:00:00Z,http://www.wikidata.org/entity/Q224,,,,http://www.wikidata.org/entity/Q242352,Yugoslav Wars,ethnic conflicts fought from 1991 to 2001 on the territory of former Yugoslavia,Q68969,Q224,,,Q242352
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5118,,,,http://www.wikidata.org/entity/Q14947002,Chechen–Russian conflict,centuries-long conflict,Q29269,Q5118,,,Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5187,,,,http://www.wikidata.org/entity/Q14947002,Chechen–Russian conflict,centuries-long conflict,Q29269,Q5187,,,Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5207,,,,http://www.wikidata.org/entity/Q14947002,Chechen–Russian conflict,centuries-long conflict,Q29269,Q5207,,,Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5219,,,,http://www.wikidata.org/entity/Q14947002,Chechen–Russian conflict,centuries-long conflict,Q29269,Q5219,,,Q14947002
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q188781,,,,http://www.wikidata.org/entity/Q553184,Gaza–Israel conflict,conflict between Gaza and Israel,Q170682,Q188781,,,Q553184
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,armed conflict involving Pakistan and armed militant groups,2004-03-16T00:00:00Z,,http://www.wikidata.org/entity/Q208270,,,,http://www.wikidata.org/entity/Q185729,War on Terror,international military campaign that started after 11 September 2001,Q179275,Q208270,,,Q185729
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q83210,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49100,Q83210,,,Q8669
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q188781,,,,http://www.wikidata.org/entity/Q15059994,Iran–Israel proxy conflict,ongoing indirect conflict between Iran and Israel,Q170682,Q188781,,,Q15059994
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q7204,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q49100,Q7204,,,Q8683
http://www.wikidata.org/entity/Q49092,1948 Arab–Israeli War,"military conflict (1948–9) between the newly declared State of Israel and states of the Arab League and Palestinian militias, ending with Israeli victory, Jordanian occpuation of West Bank, and Egyptian occupation of the Gaza Strip",1947-10-30T00:00:00Z,1949-03-10T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49092,Q36755,,,Q8669
