event,eventLabel,participant,participantLabel,warID,participantID
http://www.wikidata.org/entity/Q2992536,Basque conflict,http://www.wikidata.org/entity/Q142,France,Q2992536,Q142
http://www.wikidata.org/entity/Q185729,War on Terror,http://www.wikidata.org/entity/Q1674170,Turkistan Islamic Party,Q185729,Q1674170
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,http://www.wikidata.org/entity/Q21070585,Islamic State of Iraq and the Levant – Khorasan Province,Q179275,Q21070585
http://www.wikidata.org/entity/Q3151731,Dirty War,http://www.wikidata.org/entity/Q1322043,Popular Revolutionary Army,Q3151731,Q1322043
http://www.wikidata.org/entity/Q18121212,American-led intervention in Syria,http://www.wikidata.org/entity/Q18712599,Combined Joint Task Force – Operation Inherent Resolve,Q18121212,Q18712599
http://www.wikidata.org/entity/Q1209169,War in Abkhazia,http://www.wikidata.org/entity/Q2034609,Ukrainian National Assembly – Ukrainian National Self Defence,Q1209169,Q2034609
http://www.wikidata.org/entity/Q3151731,Dirty War,http://www.wikidata.org/entity/Q188590,Zapatista Army of National Liberation,Q3151731,Q188590
http://www.wikidata.org/entity/Q8683,Cold War,http://www.wikidata.org/entity/Q170541,Eastern Bloc,Q8683,Q170541
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q16761250,Republika Srpska,Q181533,Q16761250
http://www.wikidata.org/entity/Q8683,Cold War,http://www.wikidata.org/entity/Q1507074,Western Bloc,Q8683,Q1507074
http://www.wikidata.org/entity/Q1271059,Shifta War,http://www.wikidata.org/entity/Q7559152,Somali Republic,Q1271059,Q7559152
http://www.wikidata.org/entity/Q4116897,Second Kurdish–Iraqi War,http://www.wikidata.org/entity/Q207991,Imperial State of Iran,Q4116897,Q207991
http://www.wikidata.org/entity/Q1143379,1991–1992 South Ossetia War,http://www.wikidata.org/entity/Q27628118,Internal Troops of Georgia,Q1143379,Q27628118
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q309368,Northern Alliance,Q182865,Q309368
