warID,warName,startDate,endDate,warDescription,prevWarID,nextWarID
Q17984356,Iraqi Civil War (2014–2017),2014-01-01T00:00:00Z,2017-12-09T00:00:00Z,Armed conflict in the Middle East that began on 1 January 2014,,
Q42306419,Third Guatemala War,1978-01-01T00:00:00Z,1984-01-01T00:00:00Z,Civil War for capital between 1978 and 1984,,
Q12055176,Angolan Civil War,1975-11-11T00:00:00Z,2002-04-04T00:00:00Z,armed conflict in Angola between 1975 and 2002,Q1780216,
Q42410540,First Uganda War,1966-01-01T00:00:00Z,1966-01-01T00:00:00Z,Civil War for Local Issue in 1966,,
Q65251940,Q65251940,2018-01-01T00:00:00Z,,,,
Q2609193,Guinea-Bissau War of Independence,1963-01-23T00:00:00Z,1974-09-10T00:00:00Z,1963-1974 armed conflict in Portuguese Guinea,,
Q17507684,Military intervention against ISIL,2014-06-13T00:00:00Z,,military actions against Islamic State of Iraq and the Levant,,
Q15353665,South Sudanese conflict,2013-12-15T00:00:00Z,,conflict in South Sudan between government and opposition forces; began on 14 December 2013,,
Q1050999,Turkish invasion of Cyprus,1974-07-20T00:00:00Z,1974-08-18T00:00:00Z,1974 military conflict in Cyprus,,
Q607257,Eritrean War of Independence,1961-09-01T00:00:00Z,1991-05-29T00:00:00Z,armed conflict in Ethiopia between 1961 and 1991,,
Q18121212,American-led intervention in Syria,2014-09-22T00:00:00Z,,"military campaign against Islamist extremist militant groups in Syria by USA, Bahrain, Jordan, Qatar, Saudi Arabia, and the UAE",,
Q42410550,First Chad (FROLINAT) Rebellion,1966-01-01T00:00:00Z,1971-01-01T00:00:00Z,Civil War for Local Issue between 1966 to 1971,,
Q42410722,Third Rwanda War,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,Civil War for Capital between 1997 to 1998,,
Q17183365,Sectarian violence in Iraq (2006–2008),2006-02-22T00:00:00Z,2008-01-01T00:00:00Z,"high level of sectarian violence, by some described as a civil war",,
Q42410678,Second Cambodia Civil,1993-01-01T00:00:00Z,1997-01-01T00:00:00Z,Civil War for Capital between 1993 to 1997,,
Q6022577,Indian intervention in the Sri Lankan Civil War,1987-07-29T00:00:00Z,1990-03-24T00:00:00Z,,,
Q42410592,Nagorno-Karabakh War,1991-01-01T00:00:00Z,1993-01-01T00:00:00Z,Civil War for Local Issue between 1991 to 1993,,
Q42410504,Indonesian Leftists War,1956-01-01T00:00:00Z,1962-01-01T00:00:00Z,Civil War for Capital between 1956 to 1962,,
Q200790,Algerian War of Independence,1954-11-01T00:00:00Z,1962-09-09T00:00:00Z,war between France and the Algerian independence movement from 1954 to 1962,Q2629782,
Q501866,1983 Invasion of Grenada,1983-10-25T00:00:00Z,1983-12-15T00:00:00Z,conflict in Grenada involving US and Cuban led forces,,
Q42410697,Second Rwanda War,1994-01-01T00:00:00Z,1994-01-01T00:00:00Z,Civil War for Capital in 1994,,
Q2444955,Rhodesian Bush War,1964-07-04T00:00:00Z,1979-12-12T00:00:00Z,civil conflict in Southern Africa from 1964 to 1979,,
Q42410643,Algerian Islamic Front War,1991-01-01T00:00:00Z,1999-01-01T00:00:00Z,Civil War for Capital between 1992 to 1999,,
Q42410546,First Guatemala War,1966-01-01T00:00:00Z,1968-01-01T00:00:00Z,Civil War for Capital between 1966 to 1968,,
Q2354629,Malayan Emergency,1948-06-16T00:00:00Z,1960-07-12T00:00:00Z,guerrilla war from 1948 to 1960,,Q3446062
Q19686631,Yemeni Civil War (2015–present),2015-03-19T00:00:00Z,,conflict in Yemen,,
Q42410581,Georgia War,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,Civil War for Capital between 1991 to 1992,,
Q18159629,American-led intervention in Iraq (2014–present),2014-06-15T00:00:00Z,,,,
Q152060,Cabinda Conflict,1975-11-08T00:00:00Z,,,,
